[0.063065, 0.063115, 0.063127, 0.063117, 0.063227, 0.063122, 0.063148, 0.063086]
[0.063063, 0.063119, 0.063131, 0.063129, 0.063231, 0.063102, 0.063129, 0.063081]
[0.063058, 0.063113, 0.063127, 0.06312, 0.063221, 0.063105, 0.063123, 0.063094]
[0.063057, 0.063105, 0.063117, 0.063122, 0.063215, 0.063119, 0.063123, 0.063087]
[0.063055, 0.063104, 0.063116, 0.063126, 0.063238, 0.063126, 0.063139, 0.063059]
[0.063057, 0.063108, 0.063119, 0.06312, 0.063231, 0.063119, 0.063123, 0.063078]
[0.063059, 0.063106, 0.063119, 0.063124, 0.063227, 0.06312, 0.063122, 0.063086]
[0.063062, 0.063118, 0.063117, 0.063109, 0.063231, 0.063141, 0.063145, 0.063079]
[0.063061, 0.063121, 0.06312, 0.063123, 0.063236, 0.063127, 0.063132, 0.063097]
[0.063058, 0.063105, 0.063109, 0.063128, 0.063225, 0.063131, 0.06314, 0.063073]
[0.063083, 0.063105, 0.063122, 0.063125, 0.063225, 0.063138, 0.063151, 0.063086]
[0.063112, 0.063113, 0.063136, 0.063135, 0.063254, 0.063153, 0.063176, 0.063099]
[0.063157, 0.063137, 0.063166, 0.063161, 0.063256, 0.063196, 0.063218, 0.063173]
[0.063224, 0.063188, 0.063206, 0.063194, 0.063273, 0.063237, 0.063264, 0.063219]
[0.063302, 0.06327, 0.063255, 0.063227, 0.063314, 0.063285, 0.063343, 0.063321]
[0.063367, 0.063344, 0.063325, 0.0633, 0.063356, 0.063329, 0.063389, 0.063413]
[0.063457, 0.063446, 0.063398, 0.063373, 0.06339, 0.063389, 0.063463, 0.063518]
[0.063591, 0.063574, 0.063464, 0.063415, 0.063434, 0.06347, 0.063572, 0.063661]
[0.063721, 0.06373, 0.063558, 0.063477, 0.063495, 0.06355, 0.063694, 0.063797]
[0.06387, 0.063896, 0.063686, 0.063557, 0.063572, 0.063633, 0.063825, 0.063949]
[0.064034, 0.064057, 0.063829, 0.063659, 0.063662, 0.063742, 0.063976, 0.06411]
[0.064205, 0.064241, 0.063983, 0.063767, 0.06375, 0.063853, 0.064132, 0.064287]
[0.064385, 0.064429, 0.064154, 0.0639, 0.063848, 0.063983, 0.0643, 0.064481]
[0.064578, 0.064627, 0.064333, 0.064048, 0.063959, 0.064117, 0.064488, 0.064677]
[0.064782, 0.064846, 0.064542, 0.064218, 0.064099, 0.064276, 0.064668, 0.064892]
[0.064997, 0.065079, 0.064752, 0.064388, 0.064236, 0.064447, 0.064883, 0.065126]
[0.065237, 0.065337, 0.064987, 0.064592, 0.064413, 0.064656, 0.065121, 0.06538]
[0.06552, 0.065634, 0.065258, 0.064831, 0.064629, 0.064895, 0.065393, 0.065673]
[0.065798, 0.065927, 0.065533, 0.065072, 0.064872, 0.065127, 0.065668, 0.065949]
[0.06611, 0.06625, 0.065841, 0.065348, 0.065129, 0.065406, 0.065969, 0.066281]
[0.066453, 0.066606, 0.066175, 0.065648, 0.065436, 0.065735, 0.066314, 0.066651]
[0.066807, 0.066982, 0.06654, 0.065976, 0.065758, 0.066068, 0.066663, 0.067026]
[0.0672, 0.067382, 0.066933, 0.06636, 0.066123, 0.066443, 0.067051, 0.06743]
[0.067624, 0.067815, 0.067364, 0.066779, 0.066516, 0.066845, 0.067472, 0.067859]
[0.068048, 0.068243, 0.067796, 0.0672, 0.066928, 0.067252, 0.067895, 0.068292]
[0.068518, 0.068698, 0.068258, 0.067645, 0.067383, 0.06771, 0.068359, 0.068755]
[0.068996, 0.069176, 0.068733, 0.068132, 0.067854, 0.068178, 0.068835, 0.069226]
[0.069493, 0.069659, 0.069222, 0.068624, 0.06835, 0.068684, 0.069344, 0.069715]
[0.070002, 0.070164, 0.069729, 0.069143, 0.068875, 0.069196, 0.069851, 0.070222]
[0.070517, 0.070668, 0.070229, 0.069659, 0.069401, 0.069717, 0.070364, 0.070731]
[0.071028, 0.071177, 0.070735, 0.070179, 0.069925, 0.070225, 0.070877, 0.071245]
[0.071539, 0.071691, 0.071251, 0.070697, 0.070441, 0.07074, 0.071384, 0.071756]
[0.07205, 0.072199, 0.071762, 0.071205, 0.070954, 0.071245, 0.071899, 0.072267]
[0.07255, 0.072699, 0.07227, 0.071702, 0.071468, 0.071749, 0.072396, 0.072777]
[0.073055, 0.073204, 0.072776, 0.072209, 0.071965, 0.072239, 0.0729, 0.073284]
[0.073575, 0.07373, 0.073298, 0.07272, 0.072477, 0.072751, 0.073419, 0.073805]
[0.074093, 0.074252, 0.073823, 0.073236, 0.072982, 0.073253, 0.073935, 0.074336]
[0.074611, 0.074772, 0.074343, 0.073729, 0.073459, 0.073736, 0.074452, 0.074857]
[0.075161, 0.075329, 0.074885, 0.074263, 0.073985, 0.074256, 0.074988, 0.075415]
[0.075709, 0.075893, 0.075437, 0.074792, 0.074486, 0.07477, 0.075522, 0.075974]
[0.076268, 0.076475, 0.075998, 0.075334, 0.074999, 0.075281, 0.076053, 0.076542]
[0.076829, 0.077033, 0.07652, 0.075832, 0.075493, 0.075801, 0.076617, 0.077113]
[0.077387, 0.077589, 0.077058, 0.076335, 0.075981, 0.076308, 0.077164, 0.077673]
[0.077939, 0.078153, 0.07759, 0.076842, 0.076463, 0.07681, 0.077696, 0.078236]
[0.078485, 0.078701, 0.07811, 0.07733, 0.076952, 0.077311, 0.078235, 0.07878]
[0.079027, 0.079243, 0.078631, 0.077819, 0.077434, 0.077812, 0.078767, 0.079316]
[0.079578, 0.079804, 0.07916, 0.078322, 0.077928, 0.078316, 0.079309, 0.079866]
[0.080125, 0.080351, 0.079684, 0.078812, 0.078408, 0.078825, 0.079849, 0.080421]
[0.080669, 0.080894, 0.080213, 0.079312, 0.078913, 0.079346, 0.080384, 0.080971]
[0.081233, 0.081451, 0.080745, 0.079822, 0.079405, 0.079875, 0.080949, 0.081529]
[0.08181, 0.082024, 0.081296, 0.080355, 0.079939, 0.080427, 0.08152, 0.0821]
[0.082393, 0.082597, 0.081852, 0.080892, 0.080474, 0.080993, 0.082102, 0.08269]
[0.082983, 0.083171, 0.082404, 0.081439, 0.081036, 0.081572, 0.082702, 0.083277]
[0.083575, 0.083756, 0.082983, 0.082006, 0.081607, 0.082161, 0.083298, 0.083862]
[0.084168, 0.08434, 0.083554, 0.082575, 0.082192, 0.082762, 0.083896, 0.08445]
[0.084767, 0.084924, 0.084131, 0.083143, 0.082771, 0.083358, 0.084502, 0.085041]
[0.085368, 0.085511, 0.084714, 0.083732, 0.083371, 0.083966, 0.085115, 0.085628]
[0.085972, 0.086107, 0.085301, 0.08432, 0.083973, 0.084581, 0.085723, 0.086227]
[0.086579, 0.086709, 0.085906, 0.084929, 0.084583, 0.08519, 0.086342, 0.086837]
[0.087186, 0.08731, 0.086504, 0.085518, 0.085173, 0.085782, 0.08694, 0.087444]
[0.087788, 0.087918, 0.087109, 0.086116, 0.085771, 0.086385, 0.08754, 0.088056]
[0.088381, 0.088515, 0.087707, 0.0867, 0.086355, 0.086959, 0.088122, 0.088654]
[0.088972, 0.089113, 0.088312, 0.087291, 0.086933, 0.087527, 0.088713, 0.089256]
[0.08956, 0.089716, 0.088907, 0.087872, 0.087502, 0.088103, 0.089292, 0.089866]
[0.090163, 0.090341, 0.089531, 0.088503, 0.088118, 0.088699, 0.089893, 0.09048]
[0.090763, 0.090955, 0.090137, 0.089084, 0.08868, 0.08927, 0.090501, 0.091106]
[0.091365, 0.091573, 0.090754, 0.089686, 0.089266, 0.08984, 0.091088, 0.091718]
[0.09198, 0.092211, 0.091381, 0.090305, 0.089868, 0.090437, 0.09169, 0.092346]
[0.092588, 0.092833, 0.092002, 0.0909, 0.090426, 0.091015, 0.092289, 0.092967]
[0.093206, 0.093454, 0.092618, 0.091508, 0.091023, 0.091595, 0.092896, 0.093598]
[0.093827, 0.094089, 0.093239, 0.092103, 0.091604, 0.092189, 0.093512, 0.094229]
[0.094442, 0.094712, 0.093848, 0.092702, 0.092191, 0.092781, 0.094119, 0.094837]
[0.095054, 0.09531, 0.094436, 0.093274, 0.092771, 0.093378, 0.094734, 0.095448]
[0.095675, 0.09593, 0.095026, 0.093848, 0.093348, 0.093974, 0.09535, 0.096061]
[0.096294, 0.096536, 0.095616, 0.094423, 0.09392, 0.094571, 0.09597, 0.096679]
[0.096927, 0.097173, 0.096231, 0.09501, 0.094504, 0.095179, 0.096595, 0.097321]
[0.097471, 0.097703, 0.096735, 0.095494, 0.094994, 0.095678, 0.09716, 0.097879]
[0.098178, 0.098405, 0.097426, 0.096189, 0.095686, 0.096394, 0.09786, 0.098569]
[0.09885, 0.099064, 0.098065, 0.096809, 0.096323, 0.097071, 0.098525, 0.09923]
