[0.995408, 0.995584, 0.994997, 0.996134, 0.996312, 0.996637, 0.997217, 0.996608]
[0.99595, 0.995007, 0.996176, 0.995383, 0.996778, 0.997241, 0.997147, 0.996402]
[0.996234, 0.995715, 0.995228, 0.995999, 0.997096, 0.996675, 0.997743, 0.996777]
[0.997366, 0.995196, 0.994591, 0.996534, 0.99612, 0.998366, 0.998196, 0.995208]
[0.996749, 0.996191, 0.995616, 0.996008, 0.996998, 0.997944, 0.998573, 0.996729]
[0.997043, 0.996362, 0.995846, 0.996586, 0.997423, 0.997547, 0.998691, 0.997714]
[0.996845, 0.99625, 0.996089, 0.996455, 0.99697, 0.998065, 0.998429, 0.997593]
[0.996659, 0.996257, 0.996156, 0.99716, 0.996884, 0.997851, 0.998211, 0.997292]
[0.996351, 0.996166, 0.997049, 0.997082, 0.997489, 0.997747, 0.998589, 0.997637]
[0.996591, 0.996318, 0.996742, 0.997365, 0.996455, 0.998001, 0.998265, 0.997365]
[0.996843, 0.996054, 0.995812, 0.996985, 0.99665, 0.997683, 0.998592, 0.99724]
[0.996514, 0.996173, 0.996286, 0.997209, 0.996736, 0.997982, 0.9985, 0.997842]
[0.997159, 0.995551, 0.996237, 0.997054, 0.997279, 0.997947, 0.997825, 0.997877]
[0.996255, 0.996153, 0.996994, 0.997452, 0.996565, 0.998558, 0.998708, 0.997709]
[0.996808, 0.996146, 0.996024, 0.997281, 0.997078, 0.998189, 0.998301, 0.997341]
[0.996552, 0.996326, 0.996664, 0.997156, 0.997075, 0.997997, 0.998598, 0.997853]
[0.996925, 0.997041, 0.996657, 0.997419, 0.997185, 0.997609, 0.998982, 0.9972]
[0.996825, 0.996695, 0.9966, 0.997538, 0.997049, 0.997518, 0.99889, 0.997194]
[0.996605, 0.996305, 0.996176, 0.997323, 0.997134, 0.997599, 0.99865, 0.997784]
[0.996512, 0.996229, 0.996596, 0.99764, 0.996508, 0.997948, 0.998267, 0.997233]
[0.996195, 0.995972, 0.996657, 0.997098, 0.996957, 0.997895, 0.99828, 0.997062]
[0.996382, 0.996072, 0.996306, 0.996936, 0.996948, 0.997814, 0.998403, 0.997648]
[0.997251, 0.996272, 0.996059, 0.996856, 0.997283, 0.998125, 0.998311, 0.997675]
[0.99624, 0.996365, 0.99653, 0.997339, 0.997062, 0.998063, 0.998427, 0.997357]
[0.996599, 0.99654, 0.996034, 0.996911, 0.997206, 0.997907, 0.998241, 0.997888]
[0.996788, 0.995933, 0.995898, 0.997076, 0.996826, 0.997955, 0.99833, 0.996518]
[0.996556, 0.996075, 0.996335, 0.997244, 0.996859, 0.998184, 0.998398, 0.997797]
